time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
196,-0.0008791727275193903,15.86860845131533,15.672754707452684,19.83657641780208,1,510.838,0,0.52933913,10,1,24,0
197,-0.0008695221198634366,15.86860845131533,15.672753883367681,inf,0,0,0,0,9,2,18,1
198,-0.0008269897086394361,15.86860845131533,15.672753952523905,inf,0,0,0,0,8,2,15,1
199,-0.0008686783977491055,15.86860845131533,15.672753336390096,18.723217741033118,1,563.663,0,0.6130085,10,2,18,1
200,-0.0008453349013207712,15.86860845131533,15.672754754255902,18.75844567272475,1,561.8609,0,0.57243264,9,1,24,0
201,-0.000839251554550354,15.86860845131533,15.672753721886965,18.854475200310333,1,556.99457,0,0.5786959,8,2,9,3
202,-0.0008629324857699615,15.86860845131533,15.672753989290408,inf,0,0,0,0,10,2,18,1
203,-0.0008707919600761179,15.86860845131533,15.672754513677916,inf,0,0,0,0,11,2,24,1
204,-0.0008829241633449524,15.86860845131533,15.672754316652847,18.26032313448783,2,588.2215,460.20398,0.5821885,9,3,15,1
205,-0.0008899858998829243,15.86860845131533,15.672754443905536,18.63558864792503,3,568.1858,455.88107,0.6631656,11,2,18,1
206,-0.0008569897443814752,15.86860845131533,15.67275440893967,19.122796056342164,2,543.74615,461.84637,0.66196847,12,1,35,0
207,-0.00083698395560509,15.86860845131533,15.67275371317375,22.065501101575606,1,426.08646,0,0.57639027,10,2,24,1
208,-0.0008369377514511995,15.86860845131533,15.672753822664278,21.657771976164955,1,439.84204,0,0.5539234,12,1,28,0
209,-0.0008168926898300649,15.86860845131533,15.672754095517481,21.191012591283112,1,456.47406,0,0.52893376,12,1,35,0
210,-0.0008370120869149895,15.86860845131533,15.672753706499748,17.93411744816637,2,606.5649,487.12338,0.6321514,11,2,18,2
211,-0.0008361923060338291,15.86860845131533,15.672754369067261,18.708181845785717,2,564.435,451.5986,0.64341617,13,2,28,1
212,-0.0008396267721040116,15.86860845131533,15.672754036233544,17.891885382871386,2,609.006,496.52786,0.59271854,13,1,35,0
